station_id,2023-05-06
SNOTEL:691_UT_SNTL,16.4
SNOTEL:693_MT_SNTL,0
SNOTEL:694_UT_SNTL,19.5
SNOTEL:696_MT_SNTL,15.5
SNOTEL:698_NV_SNTL,23.4
SNOTEL:699_WA_SNTL,1.3
SNOTEL:700_MT_SNTL,0
SNOTEL:702_WA_SNTL,29.4
SNOTEL:704_ID_SNTL,-9999
SNOTEL:706_OR_SNTL,0.1
SNOTEL:708_NM_SNTL,-9999
SNOTEL:709_CO_SNTL,24
SNOTEL:710_OR_SNTL,0
SNOTEL:712_OR_SNTL,55.7
SNOTEL:713_CO_SNTL,28.7
SNOTEL:714_UT_SNTL,14
SNOTEL:715_NM_SNTL,0.1
SNOTEL:717_CO_SNTL,33.2
SNOTEL:718_CO_SNTL,15.4
SNOTEL:720_UT_SNTL,5
SNOTEL:723_UT_SNTL,35.1
SNOTEL:724_CA_SNTL,53.3
SNOTEL:726_OR_SNTL,5.7
SNOTEL:727_MT_SNTL,21.8
SNOTEL:728_WA_SNTL,0
SNOTEL:729_OR_SNTL,25
SNOTEL:730_WY_SNTL,15.7
SNOTEL:731_WY_SNTL,30.3
SNOTEL:732_WY_SNTL,13.2
SNOTEL:733_OR_SNTL,8.8
SNOTEL:734_WA_SNTL,-9999
SNOTEL:735_ID_SNTL,17.8
SNOTEL:736_OR_SNTL,29.4
SNOTEL:738_ID_SNTL,44.1
SNOTEL:739_CO_SNTL,6.2
SNOTEL:741_ID_SNTL,28.8
SNOTEL:742_UT_SNTL,18
SNOTEL:743_OR_SNTL,0.3
SNOTEL:744_NM_SNTL,0
SNOTEL:745_OR_SNTL,38.9
SNOTEL:746_NV_SNTL,5
SNOTEL:747_ID_SNTL,13.1
SNOTEL:748_WA_SNTL,57.6
SNOTEL:749_ID_SNTL,11.2
SNOTEL:751_WY_SNTL,13.7
SNOTEL:752_ID_SNTL,0.2
SNOTEL:754_MT_SNTL,22.6
SNOTEL:755_NM_SNTL,-9999
SNOTEL:756_OR_SNTL,0
SNOTEL:757_NM_SNTL,-9999
SNOTEL:758_MT_SNTL,-9999
SNOTEL:761_ID_SNTL,-9999
SNOTEL:762_CO_SNTL,6.2
SNOTEL:763_UT_SNTL,12.4
SNOTEL:764_WY_SNTL,10.5
SNOTEL:765_WY_SNTL,9.6
SNOTEL:767_OR_SNTL,9.6
SNOTEL:770_ID_SNTL,12.3
SNOTEL:771_CA_SNTL,54.3
SNOTEL:773_CO_SNTL,14.8
SNOTEL:777_WA_SNTL,6.6
SNOTEL:778_CA_SNTL,0
SNOTEL:779_WY_SNTL,-9999
SNOTEL:780_CO_SNTL,29.3
SNOTEL:781_MT_SNTL,21.7
SNOTEL:782_ID_SNTL,21.5
SNOTEL:784_CA_SNTL,57.1
SNOTEL:786_WY_SNTL,2.6
SNOTEL:787_MT_SNTL,24
SNOTEL:790_UT_SNTL,19.6
SNOTEL:791_WA_SNTL,27
SNOTEL:792_ID_SNTL,4.1
SNOTEL:793_CO_SNTL,0
SNOTEL:794_OR_SNTL,0
SNOTEL:795_UT_SNTL,14.9
SNOTEL:797_CO_SNTL,19.3
SNOTEL:798_WY_SNTL,10.6
SNOTEL:799_AZ_SNTL,-9999
SNOTEL:8011_WY_SNTL,-9999
SNOTEL:801_OR_SNTL,42.8
SNOTEL:803_ID_SNTL,9.8
SNOTEL:804_WA_SNTL,51.3
SNOTEL:805_ID_SNTL,18.6
SNOTEL:806_WY_SNTL,16.5
SNOTEL:8082_UT_SNTL,-9999
SNOTEL:809_CA_SNTL,15.9
SNOTEL:810_OR_SNTL,0
SNOTEL:811_NV_SNTL,0
SNOTEL:812_OR_SNTL,15.9
SNOTEL:814_UT_SNTL,33.2
SNOTEL:815_OR_SNTL,7.1
SNOTEL:816_WY_SNTL,15.4
SNOTEL:817_WA_SNTL,20.8
SNOTEL:818_WY_SNTL,3.1
SNOTEL:819_WY_SNTL,0.3
SNOTEL:820_UT_SNTL,35.9
SNOTEL:822_WY_SNTL,22.2
SNOTEL:823_UT_SNTL,49.3
SNOTEL:824_WA_SNTL,21.6
SNOTEL:825_CO_SNTL,54.7
SNOTEL:826_WY_SNTL,11.6
SNOTEL:827_CO_SNTL,2.6
SNOTEL:830_ID_SNTL,41.6
SNOTEL:831_WY_SNTL,20.6
SNOTEL:832_WA_SNTL,5
SNOTEL:833_UT_SNTL,14
