station_id,2022-12-10
SNOTEL:555_WY_SNTL,2.7
SNOTEL:556_CO_SNTL,4.0
SNOTEL:558_OR_SNTL,2.0
SNOTEL:559_UT_SNTL,3.1
SNOTEL:560_WY_SNTL,2.8
SNOTEL:562_MT_SNTL,3.8
SNOTEL:563_OR_SNTL,2.4
SNOTEL:564_CO_SNTL,3.0
SNOTEL:565_CO_SNTL,6.4
SNOTEL:566_UT_SNTL,3.6
SNOTEL:568_MT_SNTL,4.3
SNOTEL:569_NV_SNTL,3.0
SNOTEL:570_NV_SNTL,5.1
SNOTEL:571_WY_SNTL,2.0
SNOTEL:572_UT_SNTL,4.3
SNOTEL:575_CA_SNTL,4.1
SNOTEL:576_MT_SNTL,3.7
SNOTEL:577_WY_SNTL,11.1
SNOTEL:579_UT_SNTL,4.2
SNOTEL:580_CO_SNTL,4.3
SNOTEL:582_UT_SNTL,4.1
SNOTEL:583_UT_SNTL,0.6
SNOTEL:585_WY_SNTL,3.7
SNOTEL:587_CA_SNTL,3.6
SNOTEL:588_ID_SNTL,6.7
SNOTEL:589_CO_SNTL,4.7
SNOTEL:590_MT_SNTL,7.2
SNOTEL:591_WA_SNTL,12.4
SNOTEL:592_UT_SNTL,2.3
SNOTEL:593_UT_SNTL,1.6
SNOTEL:596_UT_SNTL,7.7
SNOTEL:597_WY_SNTL,3.6
SNOTEL:598_WY_SNTL,-9999.0
SNOTEL:600_ID_SNTL,14.5
SNOTEL:603_MT_SNTL,6.0
SNOTEL:604_MT_SNTL,2.2
SNOTEL:605_OR_SNTL,3.2
SNOTEL:606_WA_SNTL,13.3
SNOTEL:607_CO_SNTL,3.5
SNOTEL:610_ID_SNTL,7.2
SNOTEL:611_SD_SNTL,-9999.0
SNOTEL:612_UT_SNTL,5.9
SNOTEL:613_MT_SNTL,3.7
SNOTEL:614_OR_SNTL,4.1
SNOTEL:615_NV_SNTL,5.6
SNOTEL:616_WY_SNTL,1.9
SNOTEL:617_AZ_SNTL,0.0
SNOTEL:619_OR_SNTL,9.4
SNOTEL:620_ID_SNTL,6.3
SNOTEL:621_UT_SNTL,4.4
SNOTEL:622_CO_SNTL,4.2
SNOTEL:623_ID_SNTL,6.6
SNOTEL:625_WY_SNTL,4.8
SNOTEL:626_UT_SNTL,8.4
SNOTEL:627_ID_SNTL,5.4
SNOTEL:628_UT_SNTL,8.7
SNOTEL:629_CO_SNTL,3.8
SNOTEL:630_WA_SNTL,-9999.0
SNOTEL:633_CA_SNTL,5.1
SNOTEL:637_ID_SNTL,9.2
SNOTEL:640_AZ_SNTL,0.4
SNOTEL:642_WA_SNTL,13.8
SNOTEL:643_UT_SNTL,4.1
SNOTEL:644_WA_SNTL,7.1
SNOTEL:645_ID_SNTL,9.5
SNOTEL:646_MT_SNTL,15.3
SNOTEL:647_OR_SNTL,7.7
SNOTEL:648_WA_SNTL,7.9
SNOTEL:649_MT_SNTL,6.0
SNOTEL:650_ID_SNTL,6.9
SNOTEL:651_OR_SNTL,12.7
SNOTEL:652_NV_SNTL,9.3
SNOTEL:654_ID_SNTL,1.0
